"release_year","title_count"
,2137
"1878",25
"1885",1
"1892",3
"1894",2
"1896",1
"1897",1
"1898",1
"1899",1
"1900",1
"1906",4
"1907",7
"1908",14
"1909",19
"1910",24
"1911",6
"1912",14
"1913",20
"1914",10
"1915",29
"1916",54
"1917",40
"1918",32
"1919",40
"1920",69
"1921",64
"1922",82
"1923",68
"1924",79
"1925",106
"1926",118
"1927",124
"1928",120
"1929",135
"1930",202
"1931",202
"1932",250
"1933",224
"1934",219
"1935",220
"1936",219
"1937",202
"1938",219
"1939",196
"1940",204
"1941",198
"1942",209
"1943",181
"1944",193
"1945",166
"1946",168
"1947",173
"1948",197
"1949",182
"1950",186
"1951",199
"1952",179
"1953",198
"1954",186
"1955",193
"1956",201
"1957",187
"1958",187
"1959",193
"1960",205
"1961",201
"1962",203
"1963",176
"1964",196
"1965",231
"1966",228
"1967",271
"1968",247
"1969",227
"1970",246
"1971",257
"1972",268
"1973",255
"1974",263
"1975",270
"1976",226
"1977",246
"1978",320
"1979",307
"1980",297
"1981",284
"1982",286
"1983",326
"1984",339
"1985",359
"1986",413
"1987",432
"1988",434
"1989",425
"1990",398
"1991",442
"1992",478
"1993",390
"1994",431
"1995",422
"1996",415
"1997",422
"1998",393
"1999",433
"2000",481
"2001",485
"2002",534
"2003",589
"2004",650
"2005",738
"2006",808
"2007",809
"2008",840
"2009",869
"2010",1007
"2011",1067
"2012",1087
"2013",1259
"2014",1289
"2015",1314
"2016",1367
"2017",1693
"2018",1656
"2019",2021
"2020",2339
"2021",2728
"2022",2247
"2023",1907
"2024",103
"2025",10
"2026",2
